Artist,Playcount,Listeners,URL,Date
Drake,1212340833,6788614,https://www.last.fm/music/Drake,2026-06-01
Michael Jackson,385468875,6997436,https://www.last.fm/music/Michael+Jackson,2026-06-01
Ariana Grande,1136975972,4534538,https://www.last.fm/music/Ariana+Grande,2026-06-01
The Weeknd,1139833573,5370857,https://www.last.fm/music/The+Weeknd,2026-06-01
Kanye West,1563646008,7999536,https://www.last.fm/music/Kanye+West,2026-06-01
PinkPantheress,344616147,3147742,https://www.last.fm/music/PinkPantheress,2026-06-01
Rihanna,611625406,8355923,https://www.last.fm/music/Rihanna,2026-06-01
Radiohead,1390927831,8292603,https://www.last.fm/music/Radiohead,2026-06-01
Kendrick Lamar,1043709976,5144312,https://www.last.fm/music/Kendrick+Lamar,2026-06-01
Tame Impala,430661567,4464502,https://www.last.fm/music/Tame+Impala,2026-06-01
Taylor Swift,3714470474,5986972,https://www.last.fm/music/Taylor+Swift,2026-06-01
Lady Gaga,1046571627,7777534,https://www.last.fm/music/Lady+Gaga,2026-06-01
Charli xcx,735318934,3818727,https://www.last.fm/music/Charli+xcx,2026-06-01
Olivia Rodrigo,584237553,3169316,https://www.last.fm/music/Olivia+Rodrigo,2026-06-01
"Tyler, The Creator",1065625749,4374950,"https://www.last.fm/music/Tyler,+The+Creator",2026-06-01
Justin Bieber,346642233,4905671,https://www.last.fm/music/Justin+Bieber,2026-06-01
Sabrina Carpenter,683890552,3296768,https://www.last.fm/music/Sabrina+Carpenter,2026-06-01
Lana Del Rey,1599643241,5307061,https://www.last.fm/music/Lana+Del+Rey,2026-06-01
Arctic Monkeys,944937379,7155414,https://www.last.fm/music/Arctic+Monkeys,2026-06-01
Katy Perry,447257014,7224350,https://www.last.fm/music/Katy+Perry,2026-06-01
Paramore,594418161,5697403,https://www.last.fm/music/Paramore,2026-06-01
Frank Ocean,787459072,4305913,https://www.last.fm/music/Frank+Ocean,2026-06-01
Billie Eilish,849247147,4276775,https://www.last.fm/music/Billie+Eilish,2026-06-01
Bruno Mars,311058199,5307097,https://www.last.fm/music/Bruno+Mars,2026-06-01
Fleetwood Mac,305641248,4937759,https://www.last.fm/music/Fleetwood+Mac,2026-06-01
Harry Styles,454314463,3368629,https://www.last.fm/music/Harry+Styles,2026-06-01
Doja Cat,476773382,3679502,https://www.last.fm/music/Doja+Cat,2026-06-01
Gorillaz,525600326,6910641,https://www.last.fm/music/Gorillaz,2026-06-01
The Smiths,546977751,5122861,https://www.last.fm/music/The+Smiths,2026-06-01
Linkin Park,755887031,6986462,https://www.last.fm/music/Linkin+Park,2026-06-01
A$AP Rocky,378642634,3496699,https://www.last.fm/music/A$AP+Rocky,2026-06-01
Childish Gambino,333718506,3866048,https://www.last.fm/music/Childish+Gambino,2026-06-01
Malcolm Todd,108662606,1439219,https://www.last.fm/music/Malcolm+Todd,2026-06-01
SZA,595082838,3537042,https://www.last.fm/music/SZA,2026-06-01
Deftones,587569466,4281768,https://www.last.fm/music/Deftones,2026-06-01
Travis Scott,691539808,3372857,https://www.last.fm/music/Travis+Scott,2026-06-01
Don Toliver,287578344,2587111,https://www.last.fm/music/Don+Toliver,2026-06-01
The Neighbourhood,410451839,4017010,https://www.last.fm/music/The+Neighbourhood,2026-06-01
Bad Bunny,417604640,2626776,https://www.last.fm/music/Bad+Bunny,2026-06-01
Coldplay,785960634,9160127,https://www.last.fm/music/Coldplay,2026-06-01
Chappell Roan,342330988,2602700,https://www.last.fm/music/Chappell+Roan,2026-06-01
Beyoncé,707636509,6431656,https://www.last.fm/music/Beyonc%C3%A9,2026-06-01
Mac Miller,440875327,3582564,https://www.last.fm/music/Mac+Miller,2026-06-01
The Marías,249977230,2548011,https://www.last.fm/music/The+Mar%C3%ADas,2026-06-01
Clairo,358894614,2964361,https://www.last.fm/music/Clairo,2026-06-01
Mitski,676300826,3311509,https://www.last.fm/music/Mitski,2026-06-01
Future,469849868,3259674,https://www.last.fm/music/Future,2026-06-01
TV Girl,301858078,2901239,https://www.last.fm/music/TV+Girl,2026-06-01
Dominic Fike,159598875,2634324,https://www.last.fm/music/Dominic+Fike,2026-06-01
Calvin Harris,213033226,5074642,https://www.last.fm/music/Calvin+Harris,2026-06-01
