Track,Artist,Playcount,Listeners,Duration,Listeners_per_Play,Date,Minutes,Popularity_Score,Underrated_Score
tHe CuRe,Olivia Rodrigo,3550941,376178,297,9.439523310773092,2026-06-01,,,
Stateside + Zara Larsson,PinkPantheress,22087939,1298324,176,17.012655546689423,2026-06-01,,,
Earrings,Malcolm Todd,10997215,829153,0,13.263191473708712,2026-06-01,,,
drop dead,Olivia Rodrigo,9395870,644528,224,14.57790817466425,2026-06-01,,,
hate that i made you love me,Ariana Grande,2000056,223423,198,8.951880513644522,2026-06-01,,,
Billie Jean,Michael Jackson,27515283,3309215,294,8.314746246466306,2026-06-01,,,
Babydoll,Dominic Fike,26590607,1753308,98,15.165964565267483,2026-06-01,,,
Beauty and a Beat,Justin Bieber,17828611,1789992,144,9.960162391787224,2026-06-01,,,
Chicago,Michael Jackson,13136907,1181764,245,11.1163540266923,2026-06-01,,,
Beat It,Michael Jackson,20129518,2704741,258,7.442308893901487,2026-06-01,,,
Fame Is a Gun,Addison Rae,21624131,1090068,227,19.83741473009023,2026-06-01,,,
Girl Like Me,PinkPantheress,9732504,709439,156,13.718591732340624,2026-06-01,,,
Human Nature,Michael Jackson,8986632,1311104,246,6.854248023040125,2026-06-01,,,
Midnight Sun,Zara Larsson,13441936,804015,189,16.718513958072922,2026-06-01,,,
Don't Stop 'Til You Get Enough,Michael Jackson,8880575,1498508,238,5.926278004521831,2026-06-01,,,
SWIM,BTS,205891912,460344,159,447.25664285838417,2026-06-01,,,
Dracula - JENNIE remix,Tame Impala,5862097,712928,209,8.22256525203106,2026-06-01,,,
Manchild,Sabrina Carpenter,26508469,1298851,213,20.409168565139495,2026-06-01,,,
The Less I Know the Better,Tame Impala,49468356,2811899,216,17.59250812351368,2026-06-01,,,
Mr. Brightside,The Killers,51964584,3715674,223,13.985237671550305,2026-06-01,,,
Creep,Radiohead,61339221,4118656,235,14.893018742036237,2026-06-01,,,
Janice STFU,Drake,1845563,292888,237,6.301258501543252,2026-06-01,,,
505,Arctic Monkeys,58889550,3054084,305,19.28222995831156,2026-06-01,,,
The One That Got Away,Katy Perry,21156851,1915001,227,11.047958199499634,2026-06-01,,,
Dracula,Tame Impala,12294300,1157684,205,10.619737337649996,2026-06-01,,,
Body to Body,BTS,57739639,405632,189,142.3448815675292,2026-06-01,,,
Hooligan,BTS,55608311,381898,182,145.61037502160264,2026-06-01,,,
SS26,Charli xcx,761701,188825,167,4.0338991129352575,2026-06-01,,,
2.0,BTS,55042165,351714,169,156.49694069613378,2026-06-01,,,
Dreams - 2004 Remaster,Fleetwood Mac,29144127,2025450,257,14.388963933940603,2026-06-01,,,
End of Beginning,Djo,35478612,2055895,159,17.25701555770115,2026-06-01,,,
House Tour,Sabrina Carpenter,14081187,803489,214,17.525052614285947,2026-06-01,,,
See You Again (feat. Kali Uchis),"Tyler, The Creator",58374100,2586041,180,22.57276663440371,2026-06-01,,,
back to friends,sombr,25729354,1473828,144,17.45750114667383,2026-06-01,,,
FYA,BTS,53139296,357314,180,148.71876276888116,2026-06-01,,,
Iris,The Goo Goo Dolls,32128006,2352984,289,13.654154044396392,2026-06-01,,,
they don’t know ’bout us,BTS,50470779,323921,164,155.81200045690153,2026-06-01,,,
"Good Luck, Babe!",Chappell Roan,60720491,2102662,218,28.87791333081589,2026-06-01,,,
Lovers Rock,TV Girl,51054992,2205359,213,23.15042222150679,2026-06-01,,,
Sweet Boy,Malcolm Todd,10736425,761422,180,14.100492236893604,2026-06-01,,,
NATIONAL TREASURES,Drake,1343555,273333,208,4.9154511164038,2026-06-01,,,
"Lover, You Should've Come Over",Jeff Buckley,32641575,1667453,403,19.575709180408683,2026-06-01,,,
NOBLE,F3miii,2038597,282064,185,7.227427108741279,2026-06-01,,,
Let Down,Radiohead,41474578,2545220,337,16.295085690038583,2026-06-01,,,
Into You,Ariana Grande,27716936,1731466,244,16.007785310251545,2026-06-01,,,
Sweater Weather,The Neighbourhood,50826646,2999697,240,16.943926669926995,2026-06-01,,,
Pink + White,Frank Ocean,60012689,2464871,290,24.3471926117026,2026-06-01,,,
Like Animals,BTS,51722057,322300,189,160.47799255352157,2026-06-01,,,
Aliens,BTS,52948395,338863,167,156.25310228617465,2026-06-01,,,
